,text
126,"Internationalen Verhandlungen zur Einführung einer effektiven Mindestbesteuerung und einer fairen Besteuerung so genannter Digitalunternehmen zum Abschluss bringen und in Deutschland und Europa umsetzen. Google, Amazon, Facebook und andere große Digitalunternehmen müssen einen angemessenen Beitrag zur Finanzierung des Gemeinwesens leisten."
127,"Wir brauchen einen leistungsfähigen, sicheren und fairen Finanzmarkt, um den Wandel in eine digitale und nachhaltige Wirtschaft finanzieren zu können. Er muss ordentlich reguliert und überwacht werden. Wir werden sicherstellen, dass den Verbraucher*innen die Finanzierungsdienstleistungen kostengünstig angeboten werden und Investitionen in nachhaltige, klimafreundliche Produkte und Produktionsverfahren fördern."
128,"Für das Vertrauen in die Funktionstüchtigkeit und Sicherheit von Finanzmarktakteuren und Finanzprodukten ist es gerade für Kleinanleger*innen wichtig, dass sie eine unabhängige und an ihren Interessen orientierte Beratung erhalten können. Überschuldeten Privatpersonen werden wir besser aus einer nicht aus eigener Kraft überwindbaren finanziellen Not helfen. Die Schuldnerberatung werden wir stärken. Durch ausgeweitete vorsorgende Beratungsmöglichkeiten soll der Weg in die Überschuldung am besten von vornherein vermieden werden."
129,"Um den Finanzstandort Deutschland zum Motor einer nachhaltigen Transformation der Finanz- und Realwirtschaft in Einklang mit den Pariser Klimaschutzzielen zu machen, werden wir künftig noch mehr nachhaltige Staatsanleihen auflegen und auf weitere als nachhaltig zertifizierte Finanzprodukte hinwirken. Das Ziel ist, private Kapitalflüsse in den Auf- und Ausbau nachhaltiger Wirtschaftsstrukturen zu lenken."
130,"Der Wettbewerb im Finanzsektor soll erhalten bleiben und die Bankenregulierung muss bewirken, dass staatliche Rettungsschirme für einzelne Banken nicht notwendig werden. Wir unterstützen die EU-Kommission dabei, darauf im Rahmen der europäischen Fusionskontrolle zu achten."
131,"Wir haben dafür gesorgt, dass die Bundesanstalt für Finanzdienstleistungsaufsicht BaFin) stärkere Kontroll-Kompetenzen erhält. Wir haben bei der Prüfung von Jahresabschlüssen der Unternehmen eine Überprüfung unmittelbar durch die BaFin ermöglicht. Sie kann nun hoheitlich prüfen, da Jahresabschlüsse die wichtigste Informationsquelle für Anleger*innen und Verbraucher*innen sind. Zudem haben wir die Aufsicht über die Wirtschaftsprüfer*innen verschärft und geregelt, damit sie häufiger als bisher gewechselt werden müssen. Darüber hinaus setzen wir uns dafür ein, dass die BaFin mehr Kompetenzen bei der Geldwäscheaufsicht auch für große Unternehmen über ihre bisherige Aufsichtszuständigkeit hinaus erhält. Schmutziges Geld darf in Deutschland keine Heimat finden."
132,"Der Zoll ist neben der Polizei eine wichtige Institution im Kampf gegen Geldwäsche und Kriminalität. Wir werden die Kompetenzen des Zolls weiter stärken und die für dessen Wahrnehmung der Aufgaben verbundene Personalausstattung und Ausrüstung im Bereich illegale Beschäftigung und Schwarzarbeit, organisierte Kriminalität, Geldwäsche wirkungsvoll unterstützen."
133,"Wir lehnen eine Privatisierung von Währungen ab. Dies gilt auch für private digitale Währungen, die in ihrem Wert künstlich stabil gehalten werden (Stablecoins)."
134,"Wie wir regieren wollen Wir wollen vorausschauender, wirksamer, agiler und nachhaltiger regieren und dabei mehr Transparenz, mehr Beteiligung, mehr Demokratie wagen."
135,"Unsere föderale Struktur ist eine unserer demokratischen Stärken. Im Bund, den Ländern, Städten, Landkreisen und Gemeinden wird die Zukunft ausgehandelt. Zugleich besteht die große Herausforderung darin, gemeinsame Ziele für unsere Zukunft zu verfolgen. Wir werden daher alle, die Verantwortung tragen, in die Umsetzung unserer großen Ziele mit einbeziehen."
136,"Das Silodenken der politischen Ebenen und Ressorts wollen wir überwinden und innovative Regierungsprojekte in Plattformen organisieren. Denken außerhalb alter Muster ist gefragt. Wir brauchen eine Modernisierungsoffensive für den öffentlichen Dienst und eine bessere Zusammenarbeit der Verwaltung. In die Entwicklung, Umsetzung und Evaluation von Projekten wollen wir wissenschaftliche und wirtschaftliche Expertise, Verbände und die Zivilgesellschaft einbinden und das Parlament in seiner Kontrollfunktion stärken."
137,"Die demokratische Gestaltung des digitalen Wandels, die alle Lebensbereiche umfasst, alle gesellschaftlichen, wirtschaftlichen und politischen Felder und Ebenen, ist ein Beispiel für die Überforderung herkömmlicher Organisationsformen mit den Aufgaben unserer Zeit."
138,"Zum nachhaltigen Regieren gehört, dass Regierungsvorhaben, Projekte und Gesetze in ihrer Umsetzung kommunikativ begleitet werden. Außerdem muss die Umsetzung in den zuständigen Verwaltungseinheiten, durch hinreichende Personalausstattung und geeignete Fortbildungsmaßnahmen sichergestellt werden."
139,"Die Prinzipien offenen Regierungshandelns - Transparenz, Partizipation und Zusammenarbeit - sind für uns handlungsleitend. Wir werden die Nationalen Aktionspläne im Rahmen der Open Government Partnership Deutschlands umsetzen und weiterentwickeln."
140,"Wir werden die Erfahrungen mit Bürgerräten aufgreifen und es uns zur Aufgabe machen, neue Wege der unmittelbaren Beteiligung an staatlichen Entscheidungen zu gehen. Durch eine systematische und frühzeitige Beteiligung der Bürger*innen an staatlichen Projekten können Rechtwege verkürzt und Verfahren beschleunigt werden."
141,Das Informationsfreiheitsrecht werden wir zu einem wirksamen Transparenzrecht weiterentwickeln und ausbauen. Wir werden öffentliche Daten und Informationen kostenlos und diskriminierungsfrei bereitstellen. Durch einen legislativen und exekutiven Fußabdruck machen wir den Einfluss von Lobbyist*innen bei Gesetzesentwürfen sichtbar. Damit werden Entscheidungsprozesse nachvollziehbar.
142,"Wir werden dafür sorgen, dass Abgeordnete zukünftige ihre Einkommen auf Euro und Cent angeben müssen. Ebenso werden wir für Abgeordnete die Anzeigepflicht für Unternehmensbeteiligung und Aktionenoptionen verschärfen und klar regeln, wann ein Interessenkonflikt zwischen parlamentarischer und wirtschaftlicher Arbeit vorliegt und wie er zu lösen ist."
143,"III. Eine Gesellschaft des Respekts Wir stehen für eine Gesellschaft des Respekts. Eine Gesellschaft, in der wir uns gegenseitig anerkennen, auch wenn wir in vielerlei Hinsicht verschieden sind. Eine Gesellschaft, in der niemand auf andere herabschaut und in der Meinungsverschiedenheiten fair, zivilisiert und auf Basis unserer demokratischen Grundsätze ausgetragen werden."
144,"Wo dieser Respekt fehlt, zerfällt unsere Gesellschaft. Hassreden im Internet zersetzen unsere Gesellschaft. Das ist der Nährboden für Rechtsextreme. Unsere Politik zielt darauf ab, den Respekt wiederherzustellen."
145,Sie steht für gleiche Teilhabe und gleiche Lebenschancen für alle. Sie sorgt für gleichwertige Lebensverhältnisse in Stadt und Land.
146,"Sie ist konsequent gegen jede Form von Diskriminierung, egal ob es um soziale Herkunft, Geschlecht, Migrationsbiografie, Religion, Behinderung oder sexuelle Orientierung geht."
147,"Sie steht für politische und soziale Bürger*innenrechte. Sie steht aber auch für Pflichten. Dazu gehört, dass sich alle an Gesetze halten."
148,"Arbeit wertschätzen Unser Ziel ist Vollbeschäftigung mit gerechten Löhnen. Unsere Antwort auf den Wandel der Arbeitswelt ist ein „Recht auf Arbeit“. Das bedeutet für uns, dass sich die Solidargemeinschaft dazu verpflichtet, sich um Jede*n zu kümmern und jeder*m Arbeit und Teilhabe zu ermöglichen. Weil sich Arbeit verändert, soll jede*r alle Möglichkeiten bekommen, sich auch selbst weiterzuentwickeln."
149,"Arbeit bedeutet auch die Sicherung der Existenz. Das ist ein grundlegendes Bedürfnis. Für sich selbst und die Familie. Diese Sicherheit gibt es nur, wenn man auch langfristig planen kann: Eine gute Wohnung finden, die Miete bezahlen, den Kindern eine gute Ausbildung ermöglichen, den Lebensstandard im Alter sichern."
150,"Daher setzen wir uns für gerechte Löhne ein. Wir werden die Möglichkeit vereinfachen, Tarifverträge für allgemein verbindlich zu erklären, damit sie für alle Beschäftigten und Arbeitgeber*innen in einer Branche gelten. Tarifverträge müssen auch weiter gelten, wenn Betriebe aufgespalten und ausgelagert werden."
151,"Wir wollen, dass möglichst viele Unternehmen sich an den Tarifverträgen beteiligen. Die Mitgliedschaft in Arbeitgeberverbänden ohne Tarifbindung ist unanständig. Wir werden diese Praxis zurückzudrängen. Ein öffentlicher Auftrag darf nur an Unternehmen vergeben werden, die nach Tarif bezahlen. Dazu schaffen wir ein Bundestariftreuegesetz. Eine bessere Tarifbindung ist darüber hinaus eine wichtige Voraussetzung, die Lohnangleichung zwischen Ost und West durchzusetzen."
152,"Wer den ganzen Tag arbeitet, muss von seiner Arbeit ohne zusätzliche Unterstützung leben können. Auch das ist eine Frage des Respekts. Wir werden den gesetzlichen Mindestlohn zunächst auf mindestens zwölf Euro erhöhen und die Spielräume der Mindestlohnkommission für künftige Erhöhungen ausweiten."
153,Die Befristung von Arbeitsverhältnissen ohne einen Sachgrund werden wir abschaffen und die vom Gesetz akzeptierten Gründe für eine Befristung kritisch überprüfen. Leiharbeiter*innen werden ab dem ersten Tag den gleichen Lohn erhalten wie Festangestellte.
154,"Die Corona-Krise hat erneut gezeigt, dass die soziale Sicherung der Minijobs unzureichend ist. Unser Ziel ist, alle Beschäftigungsverhältnisse in die soziale Sicherung einzubeziehen. Dabei wird es Übergänge für bestehende Arbeitsverhältnisse und Ausnahmen für bestimmte Gruppen wie zum Beispiel Rentner*innen geben. Um die."
155,"Nettoeinkommen von gering Verdienenden zu erhöhen, heben wir die Gleitzone der MidiJobs auf 1. 600 Euro an. In dieser Zone zahlen die Arbeitnehmer*innen geringere Beiträge, ohne dass sie dadurch einen geringeren Rentenanspruch haben."
156,"Den Zugang zur Brückenteilzeit werden wir für mehr Beschäftigte möglich machen corona hat ein Schlaglicht darauf geworfen, wie groß bei manchen Berufsgruppen die Lücke zwischen Wert und Lohn ist. Dazu gehören die sozialen Dienstleistungsberufe. Es verdient große Anerkennung, dass immer mehr junge Menschen es sich vorstellen können, soziale Berufe zu ergreifen, Mädchen genauso wie Jungen - es sind Berufe mit Bedeutung und Zukunft. Hier entstehen die meisten Arbeitsplätze."
157,"In der Pflege wird enorme und gesellschaftlich wertvolle Arbeit geleistet. Wir wollen die Lohn- und Arbeitsbedingungen in der Altenpflege und Pflege von Menschen mit Behinderung schnell verbessern. Wir werden über die Pflegemindestlohnkommission eine weitere Erhöhung der Mindestlöhne verfolgen. Unser Ziel sind allgemeinverbindliche Branchentarifverträge. Gemeinsam mit den kirchlichen Arbeitgeber*innen und ihren Arbeitnehmer*innen wollen wir einen Weg erarbeiten, ihr Arbeitsrecht dem allgemeinen Arbeits- und Tarifrecht sowie der Betriebsverfassung anzugleichen. Wir haben dafür gesorgt, dass Pflegeanbieter, die nach Tarif zahlen, diese auch von der Pflegeversicherung refinanziert bekommen. Nun werden wir im Umkehrschluss die Refinanzierung der Pflegeleistungen an die Geltung von Tarifverträgen binden."
158,"Es gibt einen gewaltigen Personalmangel in den Krankenhäusern und Pflegeeinrichtungen. Soziale Arbeit aufwerten heißt für uns auch, dass die Arbeits- und Stressbelastung gesenkt werden muss. Wir werden deshalb den Vorschlag eines neuen, bundesweiten und einheitlichen Personalbemessungsrahmens voranbringen. Pfleger*innen müssen sich beruflich weiterentwickeln können."
159,"Auch die Arbeit mit Kindern und Jugendlichen wird von gut ausgebildeten Fachkräften geleistet. Erzieher*innen, Lehrer*innen, Sozialpädagog*innen und Beschäftigte in der Jugendhilfe machen mit großem Engagement und viel Leidenschaft ihre Arbeit, doch auch hier fehlt es an Personal. Mit gezielten Impulsen zur Fachkräftesicherung werden wir die Länder beim weiteren Ausbau von Kitas, Ganztagsbetreuung an Schulen und Jugendeinrichtungen unterstützen. Unser Ziel ist es, die Zahl der Nachwuchskräfte in den erzieherischen Berufen bis 2030 bundesweit zu verdoppeln. Dafür werden wir eine attraktive, vergütete und schulgeldfreie Ausbildung schaffen, für mehr Ausbildungskapazitäten an Fachschulen und in den Studiengängen zur sozialen Arbeit und Kindheitspädagogik sorgen, mehr Karriereoptionen für die Fachkräfte schaffen und Beschäftigungsverhältnisse anstreben, die eine eigenständige Existenzsicherung ermöglichen."
160,"Die Krise hat gezeigt, wie unverzichtbar und wichtig funktionierende Postdienste und Paketdienste für die Daseinsvorsorge in Deutschland sind. Die Arbeitsbedingungen in dieser Branche sind oft schlecht. Es gibt viele ungesicherte Arbeitsverhältnisse durch Scheinselbständigkeit und Subunternehmertum. Wir werden die Branche sozial und ökologisch ausrichten."
161,Der Erfolg der Unternehmen wird von ihren Beschäftigten erarbeitet. Deshalb verbessern wir deren Mitbestimmung. Wir werden sie auf Unternehmen in ausländischer.
162,Rechtsform erweitern. Wir werden den Geltungsbereich der Mitbestimmung durch die Absenkung der Schwellenwerte der Unternehmensgrößen erweitern. Entscheidungen zur Verlagerung oder Schließungen von Betriebsstandorten sollen nicht über die Köpfe der Beschäftigten hinweg getroffen werden. Darum stärken wir durch eine echte Parität in den Aufsichtsräten den Einfluss der Arbeitnehmer*innen.
163,"Die neuen technologischen Möglichkeiten bieten die Chance, die Arbeitsbedingungen in Unternehmen und Betrieben zu verbessern, Belastungen zu verringern und die Handlungsspielräume der arbeitenden Menschen zu erweitern. Bei der Digitalisierung der Unternehmen müssen die Belegschaften auf Augenhöhe beteiligt werden."
164,"Die letzte große Reform der Betriebsverfassung liegt 20 Jahre zurück und braucht ein Update. Unsere Ziele: Mehr echte Mitbestimmungsrechte bei der Beschäftigtensicherung und Betriebsänderungen, beim Einsatz von Leiharbeit und Werkverträgen, beim Einsatz neuer Technologien und Arbeitsweisen wie die der Künstlichen Intelligenz (KI), bei der Personalbemessung, damit Überlastungen beseitigt werden und bei der betrieblichen Weiterbildung als eine zentrale Voraussetzung für gelungenen Wandel. Wir werden den Kündigungsschutz für Betriebsrät*innen ausweiten und eine Behinderung von Betriebsratsarbeit stärker verfolgen."
165,"Mit der Digitalisierung wird Arbeit immer häufiger ortsunabhängig erledigt oder über Plattformen organisiert. Auch hier müssen Arbeitnehmer*innenrechte unvermindert gültig und wirksam sein. Gewerkschaften sollen ein digitales Zugangsrecht zum virtuellen“ Betrieb erhalten. Beschäftigte auf Plattformen sollen sich zusammenschließen können, um gemeinsam grundlegende Bedingungen ihrer Tätigkeit mit den Plattformen aushandeln können. Wir wollen, dass der Arbeitnehmerstatus einfacher geklärt werden kann. Wir werden ein Verbandsklagerecht der Gewerkschaften und ein Beschäftigtendatenschutzgesetz einführen."
166,"Die Corona-Krise hat Teile der Arbeitswelt auf den Kopf gestellt, das Homeoffice hat an Bedeutung gewonnen. Der Schreibtisch in den eigenen vier Wänden und Videokonferenzen statt persönlicher Begegnung waren anfangs ungewohnt, sind aber inzwischen Alltag und Routine für viele Bürger*innen."
167,"Wir werden einen Rechtsanspruch auf mobile Arbeit einführen. Grundsätzlich sollen Beschäftigte bei einer Fünf-Tage-Woche mindestens 24 Tage im Jahr mobil oder im Homeoffice arbeiten können, wenn es die Tätigkeit erlaubt. Klar ist, dass das nicht in Rundum-die-Uhr-Arbeiten ausarten darf – auch im Homeoffice müssen Arbeits- und Ruhezeiten gelten, die Arbeitszeit muss jeden Tag vollständig erfasst werden und es braucht ein Recht auf Nichterreichbarkeitszeiten, auf technische Ausstattung sowie guten Unfallversicherungsschutz. Um betriebliche Regelungen zur mobilen Arbeit zu fördern, schaffen wir ein Mitbestimmungsrecht zur Einführung und bei der Ausgestaltung mobiler Arbeit. Der Grundsatz der Freiwilligkeit der mobilen Arbeit für Arbeitnehmer*innen ist für uns Voraussetzung."
168,"Wir sorgen dafür, dass vom Wandel der Arbeitswelt alle profitieren. Dazu gehört, dass Arbeitszeiten besser zum Leben passen und Menschen mehr selbstbestimmte Zeit haben – etwa für Familie, soziales Engagement und Weiterbildung. Wir werden die Schutzfunktion des Arbeitszeitgesetzes erhalten. Eine Verlängerung der täglichen."
169,"Arbeitszeit schließen wir aus. Wenn die Arbeit durch Produktivitätsgewinne weniger werden sollte, müssen alle davon profitieren. Da wo Gewerkschaften für die Absenkung von Arbeitszeit streiten, um mehr selbstbestimmte Zeit zu ermöglichen oder Beschäftigung zu sichern, stehen wir an ihrer Seite."
170,"Für viele Menschen ist Selbständigkeit eine attraktive Form der Erwerbstätigkeit. Unternehmergeist fördert dringend benötigte Innovationen. Wir schaffen ein Klima, das Selbständigkeit positiv aufnimmt und unterstützt. Dazu gehört, dass offensichtliche Schutzlücken bei kleinen Selbständigen und Kreativen beseitigt werden und deren soziale Absicherung verbessert wird. Die Corona-Krise hat uns deutlicher denn je vor Augen geführt, wie schnell man ohne eigenes Zutun in Not gerät und wie schnell Rücklagen aufgebraucht sind. Wir werden darum Solo-Selbständige, darunter sind beispielsweise viele Künstler*innen, Autor*innen, Maler*innen, Übersetzer*innen, Entwickler*innen, besser absichern. Dafür werden wir die Absicherung in der Künstlersozialversicherung ebenso wie in der Renten-, Kranken- und Arbeitslosenversicherung verbessern. Der Wechsel zwischen versicherungspflichtiger Beschäftigung und Selbständigkeit ist keine Ausnahme mehr."
171,"Wer Neues wagt, braucht Sicherheit. Die bestehende freiwillige Weiterversicherung in der Arbeitslosenversicherung bietet ein solches Netz. Wir werden den Zugang verbessern und mehr Sicherheit im Bedarfsfall schaffen. Die Regelungen für die ständigen und nicht ständig Beschäftigten zum Beispiel im Bereich des Films und der Theater werden wir deutlich vereinfachen und die sozialversicherungspflichtige Beschäftigung stärken und ausbauen. Wir werden eine grundsätzliche Pflicht zur Altersvorsorge einführen und Selbständige schrittweise in die gesetzliche Rentenversicherung integrieren. Die Mindestbeiträge zur Krankenversicherung für Selbständige haben wir bereits um mehr als die Hälfte gesenkt. Unser Ziel sind einkommensabhängige Beiträge wie bei abhängig Beschäftigten."
172,"Wir werden auch Solo-Selbständige besser absichern, deren Geschäftsmodell sie grundsätzlich trägt, wo jedoch unvorhersehbare erhebliche Einnahmeausfälle, etwa durch den kurzfristigen Wegfall von Auftraggebern, zu Notlagen führt. Mit einem Sicherungsgeld schaffen wir ein neues und freiwilliges Angebot für eine solidarische Absicherung in Notlagen, die über branchen- und saisonübliche Schwankungen hinausgehen. Das Sicherungsgeld soll mit Leistungen der Arbeitslosenversicherung vergleichbar sein und durch die Bundesagentur für Arbeit ausgezahlt werden. Das durch Beiträge der Selbständigen finanzierte Sicherungsgeld hat dabei Vorrang vor Leistungen der Grundsicherung."
173,"Berufschancen erhöhen Wir setzen uns für eine Ausbildungsgarantie ein. Junge Berufsanfänger*innen brauchen eine Chance in das Berufsleben einzusteigen. Sie verdienen Respekt ebenso wie jene, die einen beruflichen Neustart wagen. Für uns bleibt die Vermittlung junger Menschen in eine betriebliche Ausbildung oberstes Ziel. Denn die duale Ausbildung ist ein Erfolgsmodell, das wir vollumfänglich stärken wollen. Alle Unternehmen, vor allem größere, müssen jedoch mehr Verantwortung für die Schaffung von ausreichend Ausbildungsplätzen übernehmen. Wir unterstützen das Mittel der branchenbezogenen Umlagen bzw. Fonds, dort wo unterhalb des Bedarfs ausgebildet wird. Alle jenen ohne betrieblichen Ausbildungsplatz ermöglichen wir eine eng an die betriebliche Praxis angelehnt Ausbildung in einer Berufsschule oder eine außerschulische Ausbildung. Der Wechsel in eine betriebliche Ausbildung hat für uns hier zu jedem Zeitpunkt Priorität."
174,"Wir werden zudem unseren Weg fortsetzen, in den Berufen der Gesundheit, Pflege und Erziehung die vollschulischen Ausbildungen dual auszurichten. Damit werden sie kostenfrei und die Auszubildenden erhalten eine Vergütung. Zudem werden wir die dualen akademischen Ausbildungswege und damit die Bedeutung der Professionalität in diesen Berufsfeldern stärken, Qualität sichern und Karriereoptionen für die Beschäftigten eröffnen."
175,"Den Lernort Berufsschule werden wird stärken, vor allem im ländlichen Raum und in strukturschwachen Regionen. Dafür schließen wir einen Pakt für berufsbildende Schulen von Bund, Ländern und Schulträgern zusammen mit den Sozialpartnern. Im Vordergrund stehen dabei die Modernisierung der technischen Ausstattung und eine verbesserte Sicherung des Lehrkräfte-Nachwuchses. Um berufliche und akademische Bildung besser zu verzahnen, werden wir das duale Studium besser fördern. Den Weg der Gebührenfreiheit bei der Aufstiegsfortbildung setzen wir fort."
176,"Unsere Arbeit befindet sich im Wandel. Durch die technologische Entwicklung gehören manche Berufsbilder inzwischen der Vergangenheit an oder werden in naher Zukunft verschwinden oder sich verändern. Gleichzeitig entstehen neue Berufsbilder, die Zukunft versprechen. Damit alle, die damit verbundenen Möglichkeiten nutzen können, lenken wir unser Augenmerk auf die Weiterbildung."
177,"Wir wollen die Arbeitslosenversicherung zu einer solidarischen Arbeitsversicherung weiterentwickeln. Sie soll nicht erst im Fall der Arbeitslosigkeit auf den Plan treten, sondern dabei helfen, diese gar nicht erst entstehen zu lassen. Die."
178,"Bundesagentur für Arbeit bauen wir darum zur Bundesagentur für Arbeit und Qualifizierung um, die ein hochwertiges und individuelles Beratungsangebot gewährleistet. Wir werden einen Anspruch auf Qualifizierung einführen, der bereits nach drei Monaten ohne neue Erwerbsarbeit greift (Arbeitslosengeld Q). Damit halten wir den Betroffenen den Rücken frei, um sich auf das Wesentliche konzentrieren zu können: Neue Arbeit zu finden, um wieder auf eigenen Beinen zu stehen."
179,"Wir schaffen ein Recht auf Weiterbildung und beruflichen Neustart in allen Lebensphasen. Jede*r einzelne wird bei den bevorstehenden Veränderungen unterstützt. Wir werden ein Recht schaffen, das es Arbeitnehmer*innen auch mit 40 plus ermöglicht, noch einmal einen ganz neuen Beruf zu erlernen."
180,"Mit unserem Modell der geförderten Bildungszeit und Bildungsteilzeit werden wir ermöglichen, dass alle Erwerbstätigen im Lauf ihres Erwerbslebens auf eigene Initiative und mit staatlicher Unterstützung unabhängig vom Betrieb sich weiterbilden oder umschulen können. Wer Bildungszeit oder Bildungsteilzeit beantragt, erhält ein Recht, sich von seinem Beruf freistellen zu lassen oder die Arbeitszeit zu reduzieren. Die Bildungszeiten werden wir mit einer finanziellen Förderung ausgestalten, die Lohneinbußen während der Weiterbildung oder Umschulung angemessen kompensiert – und zwar lange genug, um anerkannte Abschlüsse zu erwerben. Bei den Kosten für die Weiterbildungsmaßnahme werden wir diejenigen unterstützen, die die Mittel nicht oder nicht vollständig aus eigener Tasche aufbringen können."
181,"Mit einem Transformations-Kurzarbeitergeld unterstützen wir die Qualifizierung von Beschäftigten in Betrieben, die sich neu orientieren müssen."
182,"Neben der individuellen Weiterbildungsförderung wollen wir die Möglichkeiten eines Beschäftigtentransfers stärker fördern, wenn betriebliche Umstrukturierungen oder Betriebsschließungen unvermeidlich sind."
183,"Das Bundesausbildungsförderungsgesetz (BAföG) soll in Zukunft wieder mehr junge Erwachsene erreichen. Dafür weiten wir die Förderansprüche aus und streben eine schrittweise Rückkehr zum Vollzuschuss an. Das neue Kindergeld ist eine Basisabsicherung für alle bis zum Alter von 25 Jahren. Es macht das BAföG elternunabhängiger. Zugleich werden wir das BAföG und das Aufstiegs-BAföG besser aufeinander abstimmen und perspektivisch zusammenführen. Die Altersgrenzen im BAföG werden wir dazu in einem ersten Schritt aufheben. Und wir brauchen ein Neustart BAföG, das auch im Erwachsenenalter neue berufliche Wege öffnen und angemessen den Lebensunterhalt sichert."
184,"Bereits jetzt besteht die Möglichkeit, dass Arbeitnehmer*innen ihre geleisteten Arbeitsstunden auf Langzeitkonten ansparen. Allerdings besteht bislang kein rechtlicher Anspruch darauf und nur ein kleiner Teil der Unternehmen und Arbeitnehmer*innen nutzt Langzeitkonten. Wir werden das Instrument zu einem persönlichen Zeitkonto weiterentwickeln, um zusätzlich individuelle Gestaltungsmöglichkeiten entlang des Lebenslaufs zu schaffen. Basis eines solchen Zeitkontos sind Zeiteinteilungen der Beschäftigten – auf diese Weise gehen Überstunden nicht verloren, sondern verwandeln sich in ein Zeitguthaben, das per Tarifvertrag oder durch den Staat aufgestockt werden kann."
185,"Solidarität erweitern Unser Sozialstaat ist der Garant, auf den sich alle verlassen können müssen, damit unsere Gesellschaft zusammenhält. Er baut auf sozialen Rechten und Pflichten auf. Bürger*innen treten ihm nicht als Bittsteller*innen gegenüber. Wir werden den Zugang zum Arbeitslosengeld erleichtern. Dabei haben wir insbesondere neue Beschäftigungsformen und unterbrochene Erwerbsbiographien im Blick."
186,"Wir wollen Lebensleistungen stärker berücksichtigen. Wer länger eingezahlt hat, soll zukünftig auch länger Arbeitslosengeld I beziehen. Für Bürger*innen, die trotz bester Unterstützung keine Perspektive auf dem ersten Arbeitsmarkt haben, haben wir den sozialen Arbeitsmarkt eingeführt. Er ebnet denjenigen, die seit vielen Jahren von Arbeitslosigkeit betroffen sind, den Weg in reguläre sozialversicherungspflichtige Beschäftigungsverhältnisse."
187,"Es hat sich bewährt, sinnvolle und sozial abgesicherte Tätigkeiten zu schaffen. Wir werden den sozialen Arbeitsmarkt weiterführen und weiterentwickeln. Auch weiterhin werden wir Arbeitgeber mit Lohnkostenzuschüssen unterstützen, die Langzeitarbeitslose sozialversicherungspflichtig einstellen."
188,"Die Grundsicherung werden wir grundlegend überarbeiten und zu einem Bürgergeld entwickeln. Unser Bürgergeld steht für ein neues Verständnis eines haltgebenden und bürgernahen Sozialstaats. Das Bürgergeld soll digital und unkompliziert zugänglich sein. Bescheide und Schriftwechsel sollen eine verständliche Sprache sprechen. Die Regelsätze im neuen Bürgergeld müssen zu einem Leben in Würde ausreichen und zur gesellschaftlichen Teilhabe befähigen. Das Bürgergeld muss absichern, dass eine kaputte Waschmaschine oder eine neue Winterjacke nicht zur untragbaren Last werden. Die Kriterien zur Regelsatzermittlung werden wir weiterentwickeln und Betroffenen und Sozialverbänden mit einbeziehen."
189,"Das Ziel muss sein, die hilfsbedürftige Lebenslage gemeinsam zu bezwingen und allen eine Beschäftigung und, falls erforderlich, eine Qualifizierung und Weiterbildung zu ermöglichen. Wir schaffen das Recht auf Förderung, beim Nachholen eines Berufsabschlusses und führen einen Weiterbildungs-Bonus ein, der die finanziellen Spielräume spürbar erweitert."
190,"Wir haben wegen der Corona-Pandemie die Vermögensprüfung weitestgehend ausgesetzt. Man läuft nicht mehr Gefahr, aus der Wohnung ausziehen zu müssen. Dadurch können sich die Behörden und die Betroffenen in den ersten Monaten mit voller Energie auf eine."
191,"Sinnvolle Wiederaufnahme der Beschäftigung konzentrieren. Die guten Erfahrungen aus diesen vorübergehenden Maßnahmen haben uns darin bestätigt, dafür zu sorgen, dass auch in Zukunft Vermögen und Wohnungsgröße innerhalb der ersten zwei Jahre nicht überprüft werden und das Schonvermögen erhöht wird. Das Bürgergeld beinhaltet Mitwirkungspflichten, setzt aber konsequent auf Hilfe und Ermutigung. Eingliederungsvereinbarungen werden durch eine gemeinsame und auf Augenhöhe erarbeitete Teilhabevereinbarung ersetzt. Bei ihrer Umsetzung setzen wir auf Befähigung und Bestärkung und nicht auf Vorgaben und Zwang. Sinnwidrige und unwürdige Sanktionen schaffen wir ab. Das sozioökonomische und soziokulturelle Existenzminimum muss jederzeit gesichert sein."
192,"Die Leistungen des Sozialstaates sind soziale Rechte – wer sie benötigt, sollte nicht lange suchen müssen. Unser Ziel ist es, die Leistungen ohne Hürden und Umwege zugänglich zu machen. Wir wollen einen Bürgerservice, der nach Lebenslagen berät und alle Leistungen aus einer Hand zugänglich macht. Es ist digital und aufsuchend, wo der Weg zu beschwerlich ist. Ein zugewandter Sozialstaat hilft, Rechtsansprüche geltend zu machen und auch danach beratend alle Schritte begleiten."
193,"Alter absichern Für alle Erwerbstätigen muss eine gute und verlässliche Rente nach vielen Jahren von Arbeit sicher sein. Es geht um Respekt und Wertschätzung der Arbeit und darum, sich mit eigener Arbeit eine gute eigenständige Absicherung im Alter zu schaffen und am gewohnten Lebensstandard anzuknüpfen. Zentrale Grundlage dafür bleibt für uns die gesetzliche Rentenversicherung mit ihren verlässlichen Leistungen und ihrer solidarischen Finanzierung."
